orderid,order_date,ship_date,customer,manufactory,product_name,segment,category,subcategory,region,zip,city,state,country
US-2020-105417-15,1/7/2019,1/12/2019,Vivek Sundaresam,Howard Miller,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Consumer,Furniture,Furnishings,C,77340,huntsville,state of texas,United States
US-2020-105417-16,1/7/2019,1/12/2019,Vivek Sundaresam,Acco,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Consumer,Office Supplies,Binders,C,77340,huntsville,state of texas,United States
US-2020-135405-17,1/9/2019,1/13/2019,Melanie Seite,Newell,Newell 312,Consumer,Office Supplies,Art,C,78041,laredo,state of texas,United States
US-2020-135405-18,1/9/2019,1/13/2019,Melanie Seite,Memorex,Memorex Micro Travel Drive 8 GB,Consumer,Technology,Accessories,C,78041,laredo,state of texas,United States
US-2020-149020-19,1/10/2019,1/15/2019,Anthony Jacobs,Howard Miller,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Corporate,Furniture,Furnishings,S,22153,springfield,state of virginia,United States
US-2020-149020-20,1/10/2019,1/15/2019,Anthony Jacobs,Avery,Avery 482,Corporate,Office Supplies,Labels,S,22153,springfield,state of virginia,United States
US-2020-130092-21,1/11/2019,1/14/2019,Seth Vernon,DAX,"DAX Value U-Channel Document Frames, Easel Back",Consumer,Furniture,Furnishings,E,19901,dover,state of delaware,United States
US-2020-109232-22,1/13/2019,1/16/2019,Natalie DeCherney,Global,Global Highback Leather Tilter in Burgundy,Consumer,Furniture,Chairs,S,29464,mount pleasant,state of south carolina,United States
US-2020-118192-23,1/13/2019,1/18/2019,Michael Moore,Avery,Avery Metallic Poly Binders,Consumer,Office Supplies,Binders,E,43055,newark,state of ohio,United States
US-2020-118192-24,1/13/2019,1/18/2019,Michael Moore,Xerox,Xerox 1923,Consumer,Office Supplies,Paper,E,43055,newark,state of ohio,United States
US-2020-157147-25,1/13/2019,1/18/2019,Brian Dahlen,O'Sullivan,"O'Sullivan Elevations Bookcase, Cherry Finish",Consumer,Furniture,Bookcases,W,94109,san francisco,state of california,United States
US-2020-157147-26,1/13/2019,1/18/2019,Brian Dahlen,Other,4009 Highlighters by Sanford,Consumer,Office Supplies,Art,W,94109,san francisco,state of california,United States
US-2020-157147-27,1/13/2019,1/18/2019,Brian Dahlen,Tennsco,Tennsco 6- and 18-Compartment Lockers,Consumer,Office Supplies,Storage,W,94109,san francisco,state of california,United States
US-2020-162775-28,1/13/2019,1/15/2019,Chris Selesnick,3-ring staple pack,3-ring staple pack,Corporate,Office Supplies,Binders,S,71111,bossier city,state of louisiana,United States
US-2020-162775-29,1/13/2019,1/15/2019,Chris Selesnick,Other,Brown Kraft Recycled Envelopes,Corporate,Office Supplies,Envelopes,S,71111,bossier city,state of louisiana,United States
US-2020-162775-30,1/13/2019,1/15/2019,Chris Selesnick,Staple envelope,Staple envelope,Corporate,Office Supplies,Envelopes,S,71111,bossier city,state of louisiana,United States
US-2020-162775-31,1/13/2019,1/15/2019,Chris Selesnick,Fellowes,Fellowes Stor/Drawer Steel Plus Storage Drawers,Corporate,Office Supplies,Storage,S,71111,bossier city,state of louisiana,United States
US-2020-162775-32,1/13/2019,1/15/2019,Chris Selesnick,Plantronics,Plantronics S12 Corded Telephone Headset System,Corporate,Technology,Accessories,S,71111,bossier city,state of louisiana,United States
US-2020-149524-33,1/14/2019,1/15/2019,Brendan Sweed,Sauder,Sauder Cornerstone Collection Library,Corporate,Furniture,Bookcases,E,19140,philadelphia,state of pennsylvania,United States
US-2020-103366-34,1/15/2019,1/17/2019,Erica Hackney,Logitech,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Consumer,Technology,Accessories,S,30076,roswell,state of georgia,United States
US-2020-115791-35,1/16/2019,1/18/2019,Delfina Latchford,DAX,DAX Black Cherry Wood-Tone Poster Frame,Consumer,Furniture,Furnishings,E,19134,philadelphia,state of pennsylvania,United States
US-2020-115791-36,1/16/2019,1/18/2019,Delfina Latchford,GBC,GBC Linen Binding Covers,Consumer,Office Supplies,Binders,E,19134,philadelphia,state of pennsylvania,United States
US-2020-115791-37,1/16/2019,1/18/2019,Delfina Latchford,Other,Round Specialty Laser Printer Labels,Consumer,Office Supplies,Labels,E,19134,philadelphia,state of pennsylvania,United States
US-2020-115791-38,1/16/2019,1/18/2019,Delfina Latchford,AT&T,AT&T 841000 Phone,Consumer,Technology,Phones,E,19134,philadelphia,state of pennsylvania,United States
US-2020-123477-39,1/18/2019,1/21/2019,David Wiener,Fellowes,Fellowes Mighty 8 Compact Surge Protector,Corporate,Office Supplies,Appliances,W,97477,springfield,state of oregon,United States
US-2020-146591-40,1/19/2019,1/20/2019,Toby Swindell,O'Sullivan,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Consumer,Furniture,Bookcases,W,85254,scottsdale,state of arizona,United States
US-2020-146591-41,1/19/2019,1/20/2019,Toby Swindell,GBC,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Consumer,Office Supplies,Binders,W,85254,scottsdale,state of arizona,United States
US-2020-146591-42,1/19/2019,1/20/2019,Toby Swindell,Tyvek,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Consumer,Office Supplies,Envelopes,W,85254,scottsdale,state of arizona,United States
US-2020-146591-43,1/19/2019,1/20/2019,Toby Swindell,TOPS,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Consumer,Office Supplies,Paper,W,85254,scottsdale,state of arizona,United States
US-2020-147627-44,1/20/2019,1/26/2019,Hunter Lopez,Hon,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Consumer,Furniture,Chairs,S,72401,jonesboro,state of arkansas,United States
US-2020-147627-45,1/20/2019,1/26/2019,Hunter Lopez,Eldon,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Consumer,Furniture,Furnishings,S,72401,jonesboro,state of arkansas,United States
US-2020-147627-46,1/20/2019,1/26/2019,Hunter Lopez,Newell,Newell 351,Consumer,Office Supplies,Art,S,72401,jonesboro,state of arkansas,United States
US-2020-147627-47,1/20/2019,1/26/2019,Hunter Lopez,Newell,Newell 327,Consumer,Office Supplies,Art,S,72401,jonesboro,state of arkansas,United States
US-2020-147627-48,1/20/2019,1/26/2019,Hunter Lopez,Staple envelope,Staple envelope,Consumer,Office Supplies,Envelopes,S,72401,jonesboro,state of arkansas,United States
US-2020-147627-49,1/20/2019,1/26/2019,Hunter Lopez,Apple,Apple iPhone 5C,Consumer,Technology,Phones,S,72401,jonesboro,state of arkansas,United States
US-2020-147774-50,1/20/2019,1/26/2019,Muhammed MacIntyre,GBC,GBC DocuBind TL200 Manual Binding Machine,Corporate,Office Supplies,Binders,S,37167,smyrna,state of tennessee,United States
US-2020-148614-51,1/20/2019,1/25/2019,Mark Van Huff,Eldon,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Consumer,Furniture,Furnishings,W,90049,los angeles,state of california,United States
US-2020-148614-52,1/20/2019,1/25/2019,Mark Van Huff,Wirebound,"Wirebound Service Call Books, 5 1/2"" x 4""",Consumer,Office Supplies,Paper,W,90049,los angeles,state of california,United States
US-2020-167927-53,1/20/2019,1/26/2019,Xylona Preis,Ultra,Ultra Door Push Plate,Consumer,Furniture,Furnishings,C,48185,westland,state of michigan,United States
US-2020-167927-54,1/20/2019,1/26/2019,Xylona Preis,Eldon,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Consumer,Furniture,Furnishings,C,48185,westland,state of michigan,United States
US-2020-167927-55,1/20/2019,1/26/2019,Xylona Preis,Holmes,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Consumer,Office Supplies,Appliances,C,48185,westland,state of michigan,United States
US-2020-167927-56,1/20/2019,1/26/2019,Xylona Preis,Panasonic,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Consumer,Office Supplies,Art,C,48185,westland,state of michigan,United States
US-2020-167927-57,1/20/2019,1/26/2019,Xylona Preis,Acco,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Consumer,Office Supplies,Binders,C,48185,westland,state of michigan,United States
US-2020-167927-58,1/20/2019,1/26/2019,Xylona Preis,Storex,Storex Dura Pro Binders,Consumer,Office Supplies,Binders,C,48185,westland,state of michigan,United States
US-2020-167927-59,1/20/2019,1/26/2019,Xylona Preis,Eldon,Eldon Fold 'N Roll Cart System,Consumer,Office Supplies,Storage,C,48185,westland,state of michigan,United States
US-2020-167927-60,1/20/2019,1/26/2019,Xylona Preis,Fellowes,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Consumer,Office Supplies,Storage,C,48185,westland,state of michigan,United States
US-2020-110422-61,1/21/2019,1/23/2019,Tom Boeckenhauer,Ultra,Ultra Door Pull Handle,Consumer,Furniture,Furnishings,S,33180,miami,state of florida,United States
US-2020-102645-62,1/23/2019,1/28/2019,Ionia McGrath,Xerox,Xerox 195,Consumer,Office Supplies,Paper,W,89115,las vegas,state of nevada,United States
US-2020-146997-63,1/23/2019,1/27/2019,Speros Goranitis,Alliance,"Alliance Big Bands Rubber Bands, 12/Pack",Consumer,Office Supplies,Fasteners,C,47905,lafayette,state of indiana,United States
US-2020-155502-64,1/26/2019,1/31/2019,Shirley Daniels,Eldon,Eldon Image Series Black Desk Accessories,Home Office,Furniture,Furnishings,S,22304,alexandria,state of virginia,United States
US-2020-155502-65,1/26/2019,1/31/2019,Shirley Daniels,GE,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Home Office,Furniture,Furnishings,S,22304,alexandria,state of virginia,United States
US-2020-155502-66,1/26/2019,1/31/2019,Shirley Daniels,REDIFORM,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Home Office,Office Supplies,Paper,S,22304,alexandria,state of virginia,United States
US-2020-155502-67,1/26/2019,1/31/2019,Shirley Daniels,Eureka,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Home Office,Office Supplies,Paper,S,22304,alexandria,state of virginia,United States
US-2020-155502-68,1/26/2019,1/31/2019,Shirley Daniels,SAFCO,"SAFCO Commercial Wire Shelving, 72h",Home Office,Office Supplies,Storage,S,22304,alexandria,state of virginia,United States
US-2020-155502-69,1/26/2019,1/31/2019,Shirley Daniels,Jabra,Jabra SPEAK 410,Home Office,Technology,Phones,S,22304,alexandria,state of virginia,United States
US-2020-155502-70,1/26/2019,1/31/2019,Shirley Daniels,Other,Macally Suction Cup Mount,Home Office,Technology,Phones,S,22304,alexandria,state of virginia,United States
US-2020-167997-71,1/26/2019,1/29/2019,Carol Adams,SAFCO,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Corporate,Furniture,Bookcases,C,57701,rapid city,state of south dakota,United States
US-2020-167997-72,1/26/2019,1/29/2019,Carol Adams,Wilson Jones,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Corporate,Office Supplies,Binders,C,57701,rapid city,state of south dakota,United States
US-2020-117163-73,1/27/2019,2/2/2019,Ed Jacobs,Balt,Balt Split Level Computer Training Table,Consumer,Furniture,Tables,W,92037,san diego,state of california,United States
US-2020-117163-74,1/27/2019,2/2/2019,Ed Jacobs,Dixon,Dixon Ticonderoga Core-Lock Colored Pencils,Consumer,Office Supplies,Art,W,92037,san diego,state of california,United States
US-2020-117163-75,1/27/2019,2/2/2019,Ed Jacobs,Other,Recycled Steel Personal File for Hanging File Folders,Consumer,Office Supplies,Storage,W,92037,san diego,state of california,United States
US-2020-100328-76,1/28/2019,2/3/2019,Jasper Cacioppo,Pressboard,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Consumer,Office Supplies,Binders,E,10024,new york city,state of new york,United States
US-2020-134103-77,1/30/2019,2/4/2019,Mike Vittorini,Xerox,Xerox 1972,Consumer,Office Supplies,Paper,C,48234,detroit,state of michigan,United States
US-2020-134103-78,1/30/2019,2/4/2019,Mike Vittorini,Space Solutions,Space Solutions HD Industrial Steel Shelving.,Consumer,Office Supplies,Storage,C,48234,detroit,state of michigan,United States
US-2020-115161-79,1/31/2019,2/2/2019,Liz Carlisle,Sauder,"Sauder Facets Collection Library, Sky Alder Finish",Consumer,Furniture,Bookcases,W,92691,mission viejo,state of california,United States
US-2020-140795-80,2/1/2019,2/3/2019,Bradley Drucker,Enermax,Enermax Aurora Lite Keyboard,Consumer,Technology,Accessories,C,54302,green bay,state of wisconsin,United States
US-2020-123400-81,2/2/2019,2/9/2019,Eric Barreto,Other,Surelock Post Binders,Consumer,Office Supplies,Binders,S,33710,saint petersburg,state of florida,United States
US-2020-123400-82,2/2/2019,2/9/2019,Eric Barreto,AT&T,AT&T 17929 Lendline Telephone,Consumer,Technology,Phones,S,33710,saint petersburg,state of florida,United States
US-2020-139857-83,2/2/2019,2/6/2019,Cynthia Delaney,Other,Staples,Home Office,Office Supplies,Fasteners,W,92037,san diego,state of california,United States
US-2020-111059-84,2/3/2019,2/6/2019,Tom Boeckenhauer,Avery,Avery Durable Poly Binders,Consumer,Office Supplies,Binders,W,98105,seattle,state of washington,United States
US-2020-111059-85,2/3/2019,2/6/2019,Tom Boeckenhauer,Ibico,Ibico Laser Imprintable Binding System Covers,Consumer,Office Supplies,Binders,W,98105,seattle,state of washington,United States
US-2020-104808-86,2/4/2019,2/8/2019,Mark Haberlin,GBC,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Corporate,Office Supplies,Binders,W,92025,escondido,state of california,United States
US-2020-107181-87,2/4/2019,2/8/2019,Deborah Brumfield,GBC,GBC Recycled Grain Textured Covers,Home Office,Office Supplies,Binders,W,92024,san diego,state of california,United States
US-2020-107181-88,2/4/2019,2/8/2019,Deborah Brumfield,Message Book,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",Home Office,Office Supplies,Paper,W,92024,san diego,state of california,United States
US-2020-108182-89,2/6/2019,2/10/2019,Delfina Latchford,Avery,"Avery Flip-Chart Easel Binder, Black",Consumer,Office Supplies,Binders,C,60441,romeoville,state of illinois,United States
US-2020-131905-90,2/6/2019,2/9/2019,Neil Ducich,Avery,Avery 480,Corporate,Office Supplies,Labels,S,23320,chesapeake,state of virginia,United States
US-2020-131905-91,2/6/2019,2/9/2019,Neil Ducich,AT&T,AT&T CL82213,Corporate,Technology,Phones,S,23320,chesapeake,state of virginia,United States
US-2020-131905-92,2/6/2019,2/9/2019,Neil Ducich,Other,Aastra 57i VoIP phone,Corporate,Technology,Phones,S,23320,chesapeake,state of virginia,United States
US-2020-107755-93,2/7/2019,2/12/2019,Cyma Kinney,Maxell,Maxell DVD-RAM Discs,Corporate,Technology,Accessories,E,7036,linden,state of new jersey,United States
US-2020-169390-94,2/7/2019,2/10/2019,Chris Selesnick,Acco,Acco Perma 4000 Stacking Storage Drawers,Corporate,Office Supplies,Storage,E,10024,new york city,state of new york,United States
US-2020-125759-95,2/8/2019,2/9/2019,Nathan Mautz,Master Caster,"Master Caster Door Stop, Large Brown",Home Office,Furniture,Furnishings,W,89031,north las vegas,state of nevada,United States
US-2020-127614-96,2/11/2019,2/15/2019,Natalie Fritzler,Hon,Hon 2111 Invitation Series Corner Table,Consumer,Furniture,Tables,S,23320,chesapeake,state of virginia,United States
US-2020-127614-97,2/11/2019,2/15/2019,Natalie Fritzler,Wilson Jones,Wilson Jones Leather-Like Binders with DublLock Round Rings,Consumer,Office Supplies,Binders,S,23320,chesapeake,state of virginia,United States
US-2020-127614-98,2/11/2019,2/15/2019,Natalie Fritzler,Enermax,Enermax Aurora Lite Keyboard,Consumer,Technology,Accessories,S,23320,chesapeake,state of virginia,United States
US-2020-168368-99,2/11/2019,2/15/2019,Guy Armstrong,Global,"Global Value Mid-Back Manager's Chair, Gray",Consumer,Furniture,Chairs,C,65203,columbia,state of missouri,United States
US-2020-168368-100,2/11/2019,2/15/2019,Guy Armstrong,Other,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Consumer,Furniture,Furnishings,C,65203,columbia,state of missouri,United States
US-2020-168368-101,2/11/2019,2/15/2019,Guy Armstrong,Other,VariCap6 Expandable Binder,Consumer,Office Supplies,Binders,C,65203,columbia,state of missouri,United States
US-2020-168368-102,2/11/2019,2/15/2019,Guy Armstrong,Wilson Jones,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Consumer,Office Supplies,Binders,C,65203,columbia,state of missouri,United States
US-2020-168368-103,2/11/2019,2/15/2019,Guy Armstrong,Avery,Avery 483,Consumer,Office Supplies,Labels,C,65203,columbia,state of missouri,United States
US-2020-168368-104,2/11/2019,2/15/2019,Guy Armstrong,Fellowes,Fellowes Neat Ideas Storage Cubes,Consumer,Office Supplies,Storage,C,65203,columbia,state of missouri,United States
US-2020-110674-105,2/12/2019,2/18/2019,Sanjit Chand,Global,"Global Geo Office Task Chair, Gray",Consumer,Furniture,Chairs,W,94521,concord,state of california,United States
US-2020-107706-106,2/14/2019,2/19/2019,Shui Tom,Other,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Consumer,Office Supplies,Paper,C,77095,houston,state of texas,United States
US-2020-121762-107,2/14/2019,2/18/2019,Marina Lichtenstein,Belkin,Belkin 8 Outlet Surge Protector,Corporate,Office Supplies,Appliances,W,98103,seattle,state of washington,United States
US-2020-121762-108,2/14/2019,2/18/2019,Marina Lichtenstein,Other,Compact Automatic Electric Letter Opener,Corporate,Office Supplies,Supplies,W,98103,seattle,state of washington,United States
US-2020-121762-109,2/14/2019,2/18/2019,Marina Lichtenstein,Logitech,Logitech G600 MMO Gaming Mouse,Corporate,Technology,Accessories,W,98103,seattle,state of washington,United States
US-2020-165568-110,2/15/2019,2/19/2019,Barry Französisch,Pressboard,Pressboard Data Binders by Wilson Jones,Corporate,Office Supplies,Binders,W,98105,seattle,state of washington,United States
US-2020-122567-111,2/16/2019,2/21/2019,Michael Nguyen,Holmes,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Consumer,Office Supplies,Appliances,C,75220,dallas,state of texas,United States
US-2020-122567-112,2/16/2019,2/21/2019,Michael Nguyen,Wilson Jones,Wilson Jones Easy Flow II Sheet Lifters,Consumer,Office Supplies,Binders,C,75220,dallas,state of texas,United States
US-2020-154165-113,2/17/2019,2/24/2019,Delfina Latchford,Staples in misc. colors,Staples in misc. colors,Consumer,Office Supplies,Art,C,60653,chicago,state of illinois,United States
US-2020-152905-114,2/18/2019,2/24/2019,Aaron Bergman,Akro,Akro Stacking Bins,Consumer,Office Supplies,Storage,C,76017,arlington,state of texas,United States
US-2020-165589-115,2/18/2019,2/18/2019,Troy Blackwell,DAX,"DAX Copper Panel Document Frame, 5 x 7 Size",Consumer,Furniture,Furnishings,C,79424,lubbock,state of texas,United States
US-2020-109491-116,2/20/2019,2/26/2019,Linda Cazamias,Master Caster,"Master Caster Door Stop, Brown",Corporate,Furniture,Furnishings,C,47374,richmond,state of indiana,United States
US-2020-109491-117,2/20/2019,2/26/2019,Linda Cazamias,Enermax,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Corporate,Technology,Accessories,C,47374,richmond,state of indiana,United States
US-2020-164903-118,2/20/2019,2/24/2019,Steven Roelle,Xerox,Xerox 204,Home Office,Office Supplies,Paper,W,90049,los angeles,state of california,United States
US-2020-165540-119,2/21/2019,2/25/2019,Tamara Manning,GBC,GBC Standard Plastic Binding Systems Combs,Consumer,Office Supplies,Binders,C,60098,woodstock,state of illinois,United States
US-2020-133354-120,2/22/2019,2/24/2019,Sue Ann Reed,Xerox,Xerox 220,Consumer,Office Supplies,Paper,W,92553,moreno valley,state of california,United States
US-2020-103744-121,2/23/2019,2/27/2019,Michael Grace,GBC,GBC Plastic Binding Combs,Home Office,Office Supplies,Binders,C,79907,el paso,state of texas,United States
US-2020-103744-122,2/23/2019,2/27/2019,Michael Grace,Staple-on labels,Staple-on labels,Home Office,Office Supplies,Labels,C,79907,el paso,state of texas,United States
US-2020-137680-123,2/24/2019,3/2/2019,Jennifer Halladay,TOPS,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",Consumer,Office Supplies,Paper,W,97504,medford,state of oregon,United States
US-2020-137680-124,2/24/2019,3/2/2019,Jennifer Halladay,Message Book,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Consumer,Office Supplies,Paper,W,97504,medford,state of oregon,United States
US-2020-156545-125,2/27/2019,3/3/2019,Joy Smith,Zebra,Zebra Zazzle Fluorescent Highlighters,Consumer,Office Supplies,Art,E,43229,columbus,state of ohio,United States
US-2020-104269-126,3/1/2019,3/6/2019,Dave Brooks,Global,Global Deluxe High-Back Manager's Chair,Consumer,Furniture,Chairs,W,98115,seattle,state of washington,United States
US-2020-113880-127,3/1/2019,3/5/2019,Vicky Freymann,Novimex,Novimex Swivel Fabric Task Chair,Home Office,Furniture,Chairs,C,60126,elmhurst,state of illinois,United States
US-2020-113880-128,3/1/2019,3/5/2019,Vicky Freymann,Other,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Home Office,Office Supplies,Paper,C,60126,elmhurst,state of illinois,United States
US-2020-131009-129,3/1/2019,3/5/2019,Shahid Collister,Other,Harbour Creations Steel Folding Chair,Consumer,Furniture,Chairs,C,79907,el paso,state of texas,United States
US-2020-131009-130,3/1/2019,3/5/2019,Shahid Collister,DAX,DAX Black Cherry Wood-Tone Poster Frame,Consumer,Furniture,Furnishings,C,79907,el paso,state of texas,United States
US-2020-131009-131,3/1/2019,3/5/2019,Shahid Collister,Other,Plymouth Boxed Rubber Bands by Plymouth,Consumer,Office Supplies,Fasteners,C,79907,el paso,state of texas,United States
US-2020-131009-132,3/1/2019,3/5/2019,Shahid Collister,Fellowes,Fellowes Bankers Box Recycled Super Stor/Drawer,Consumer,Office Supplies,Storage,C,79907,el paso,state of texas,United States
US-2020-143707-133,3/1/2019,3/5/2019,Hallie Redmond,Other,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,Home Office,Technology,Phones,E,10035,new york city,state of new york,United States
US-2020-168312-134,3/1/2019,3/7/2019,Giulietta Weimer,Bevis,Bevis Round Conference Room Tables and Bases,Consumer,Furniture,Tables,C,77036,houston,state of texas,United States
US-2020-168312-135,3/1/2019,3/7/2019,Giulietta Weimer,Other,Recycled Steel Personal File for Hanging File Folders,Consumer,Office Supplies,Storage,C,77036,houston,state of texas,United States
US-2020-107524-136,3/2/2019,3/8/2019,Kristina Nunn,Staple envelope,Staple envelope,Home Office,Office Supplies,Envelopes,E,10009,new york city,state of new york,United States
US-2020-107524-137,3/2/2019,3/8/2019,Kristina Nunn,Array,"Array Parchment Paper, Assorted Colors",Home Office,Office Supplies,Paper,E,10009,new york city,state of new york,United States
US-2020-111157-138,3/2/2019,3/6/2019,Nicole Hansen,Xerox 1971,Xerox 1971,Corporate,Office Supplies,Paper,E,19120,philadelphia,state of pennsylvania,United States
US-2020-111157-139,3/2/2019,3/6/2019,Nicole Hansen,Other,Hypercom P1300 Pinpad,Corporate,Technology,Accessories,E,19120,philadelphia,state of pennsylvania,United States
US-2020-105648-140,3/3/2019,3/7/2019,Eva Jacobs,Bevis,"Bevis Oval Conference Table, Walnut",Consumer,Furniture,Tables,W,92037,san diego,state of california,United States
US-2020-127964-141,3/3/2019,3/8/2019,Anne Pryor,Cardinal,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Home Office,Office Supplies,Binders,E,10035,new york city,state of new york,United States
US-2020-127964-142,3/3/2019,3/8/2019,Anne Pryor,Ibico,Ibico Laser Imprintable Binding System Covers,Home Office,Office Supplies,Binders,E,10035,new york city,state of new york,United States
US-2020-127964-143,3/3/2019,3/8/2019,Anne Pryor,Other,PowerGen Dual USB Car Charger,Home Office,Technology,Phones,E,10035,new york city,state of new york,United States
US-2020-127978-144,3/3/2019,3/8/2019,Jill Stevenson,O'Sullivan,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Corporate,Furniture,Bookcases,E,43229,columbus,state of ohio,United States
US-2020-127978-145,3/3/2019,3/8/2019,Jill Stevenson,Avery,Avery 495,Corporate,Office Supplies,Labels,E,43229,columbus,state of ohio,United States
US-2020-127978-146,3/3/2019,3/8/2019,Jill Stevenson,Eldon,Eldon Shelf Savers Cubes and Bins,Corporate,Office Supplies,Storage,E,43229,columbus,state of ohio,United States
US-2020-130421-147,3/3/2019,3/7/2019,Sam Craven,Other,3.6 Cubic Foot Counter Height Office Refrigerator,Consumer,Office Supplies,Appliances,C,77095,houston,state of texas,United States
US-2020-155852-148,3/3/2019,3/7/2019,Ashley Jarboe,Zebra,Zebra Zazzle Fluorescent Highlighters,Consumer,Office Supplies,Art,S,28403,wilmington,state of north carolina,United States
US-2020-116239-149,3/4/2019,3/4/2019,Clay Ludtke,Other,Sensible Storage WireTech Storage Systems,Consumer,Office Supplies,Storage,S,29203,columbia,state of south carolina,United States
